protocol,dataset,ticker,price_mode,horizon,feature_set,model_type,model,seed,test_units,test_RMSE,test_MAE,test_MAPE,latest_RMSE,latest_MAE,latest_MAPE,RMSE_ratio_vs_latest,MAE_ratio_vs_latest,MAPE_ratio_vs_latest,passes_latest_rmse_gate,dataset_label
full rolling-origin supervised audit,dow30,MMM,raw_close,5,technical,lstm,LSTM,777.0,562,6.129336255794246,4.581839469828215,3.423689606242348,5.470402444921533,3.8857299456068417,2.868844192833057,1.120454357336074,1.1791451114631335,1.1934038156534974,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,technical,gru,GRU,42.0,562,8.740178435869197,6.400337965887212,4.9322228595326045,5.470402444921533,3.8857299456068417,2.868844192833057,1.5977212872122728,1.6471391618769995,1.7192369219124126,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,technical,gru,GRU,123.0,562,6.030470018477235,4.463288928266097,3.3297882330593027,5.470402444921533,3.8857299456068417,2.868844192833057,1.1023814205983404,1.1486359038698086,1.1606723855473835,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,technical,gru,GRU,777.0,562,6.207161041638841,4.569942908779158,3.446172125281433,5.470402444921533,3.8857299456068417,2.868844192833057,1.134680876614714,1.1760835088258974,1.2012406020134017,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,technical,dlinear,DLinear,42.0,562,9.181516866281267,7.37774727437844,5.61870118124001,5.470402444921533,3.8857299456068417,2.868844192833057,1.6783987940055416,1.8986773084217112,1.9585243406653603,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,technical,dlinear,DLinear,123.0,562,11.022981304963707,9.110369332744558,6.994146888587706,5.470402444921533,3.8857299456068417,2.868844192833057,2.015022005409662,2.3445708940850687,2.4379667972420656,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,technical,dlinear,DLinear,777.0,562,9.259312047450996,7.272213878156451,5.666046655033729,5.470402444921533,3.8857299456068417,2.868844192833057,1.6926199014931542,1.8715180879665416,1.9750276676539773,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,ohlcv,lstm,LSTM,42.0,568,9.044594116918876,6.788675093315017,5.324635568644154,7.390744617312287,5.515190017055458,4.1186449209994045,1.2237730547112349,1.2309050227320124,1.292812483420423,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,ohlcv,lstm,LSTM,123.0,568,9.06378166300682,7.050520467086577,5.436743985548401,7.390744617312287,5.515190017055458,4.1186449209994045,1.2263692134315618,1.2783821491704157,1.3200322168654333,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,ohlcv,lstm,LSTM,777.0,568,9.21050751750791,6.993772533577933,5.427864225791416,7.390744617312287,5.515190017055458,4.1186449209994045,1.2462218618585412,1.2680927605304677,1.3178762262599528,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,ohlcv,gru,GRU,42.0,568,8.65659536226162,6.444184383875887,5.008474161651112,7.390744617312287,5.515190017055458,4.1186449209994045,1.1712751299759658,1.168442857625496,1.2160490301348403,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,ohlcv,gru,GRU,123.0,568,8.08835819349436,6.0786901259086505,4.6740706445418905,7.390744617312287,5.515190017055458,4.1186449209994045,1.0943901612495124,1.102172383383092,1.1348564234587404,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,ohlcv,gru,GRU,777.0,568,8.060201292445829,6.0666650987007245,4.667077845151951,7.390744617312287,5.515190017055458,4.1186449209994045,1.0905804096606704,1.0999920365281806,1.133158583629362,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,ohlcv,dlinear,DLinear,42.0,568,8.14098474193353,6.179469726455044,4.858477621883985,7.390744617312287,5.515190017055458,4.1186449209994045,1.1015107629160743,1.120445480091408,1.1796301247316696,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,ohlcv,dlinear,DLinear,123.0,568,7.724756266587933,5.789017274346151,4.50056730847615,7.390744617312287,5.515190017055458,4.1186449209994045,1.0451932337769116,1.0496496505911663,1.0927301077909066,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,ohlcv,dlinear,DLinear,777.0,568,7.826152945058262,5.817510013848963,4.525101143169442,7.390744617312287,5.515190017055458,4.1186449209994045,1.0589126468699868,1.054815880478931,1.098686881235542,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,technical,lstm,LSTM,42.0,561,9.398879406740702,7.195791043912238,5.57733960714385,7.390744617312287,5.515190017055458,4.1186449209994045,1.271709400528399,1.304722234711697,1.3541685952841227,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,technical,lstm,LSTM,123.0,561,9.549198057888589,7.240435907972476,5.679537391976405,7.390744617312287,5.515190017055458,4.1186449209994045,1.2920481700206876,1.3128171260793875,1.3789820440744,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,technical,lstm,LSTM,777.0,561,9.155056710689864,7.193196288192124,5.537246456045859,7.390744617312287,5.515190017055458,4.1186449209994045,1.2387191257082275,1.3042517603106172,1.3444340462110596,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,technical,gru,GRU,42.0,561,10.023732145030158,7.47586791230608,5.755883217683996,7.390744617312287,5.515190017055458,4.1186449209994045,1.356254702882073,1.355505048636098,1.3975186810440825,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,technical,gru,GRU,123.0,561,8.25062832154861,6.390804610362878,4.819755501143776,7.390744617312287,5.515190017055458,4.1186449209994045,1.116346017723587,1.158764175051018,1.170228459503677,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,technical,gru,GRU,777.0,561,8.413796894618061,6.528545685630431,4.930283324872866,7.390744617312287,5.515190017055458,4.1186449209994045,1.1384234377290412,1.1837390308296214,1.1970644276070572,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,technical,dlinear,DLinear,42.0,561,9.813036935213216,7.956058196205507,6.061062959639245,7.390744617312287,5.515190017055458,4.1186449209994045,1.3277467215180028,1.442571909871062,1.4716158046876509,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,technical,dlinear,DLinear,123.0,561,11.507127829050638,9.531983305851194,7.292305263232896,7.390744617312287,5.515190017055458,4.1186449209994045,1.5569646124824852,1.7283145778067477,1.7705593473358685,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,10,technical,dlinear,DLinear,777.0,561,10.009333114824845,8.056826083205388,6.268318798300183,7.390744617312287,5.515190017055458,4.1186449209994045,1.3543064512577936,1.4608428827093978,1.5219371707282676,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,1,ohlcv,lstm,LSTM,42.0,570,4.399281169213518,3.118175975063391,2.395511359563424,2.521288284552104,1.6580041048819558,1.2480944241071876,1.7448544841809042,1.8806804916115656,1.9193350385144377,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,1,ohlcv,lstm,LSTM,123.0,570,4.119252385867536,2.896300627055921,2.2059200355914923,2.521288284552104,1.6580041048819558,1.2480944241071876,1.6337887305890937,1.7468597445131946,1.7674304066933686,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,1,ohlcv,lstm,LSTM,777.0,570,4.210505214264679,3.0022758350037693,2.329148695640967,2.521288284552104,1.6580041048819558,1.2480944241071876,1.6699816677300976,1.8107770820130276,1.8661638499884343,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,1,ohlcv,gru,GRU,42.0,570,3.3905179593093933,2.3566848621033785,1.7814207226498624,2.521288284552104,1.6580041048819558,1.2480944241071876,1.3447561629834426,1.4213986896438753,1.4273124598919549,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,1,ohlcv,gru,GRU,123.0,570,3.504709578713179,2.470324921189693,1.8778563230404728,2.521288284552104,1.6580041048819558,1.2480944241071876,1.3900471438297963,1.489938965721422,1.504578729597145,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,1,ohlcv,gru,GRU,777.0,570,3.5155854480666258,2.4477602908485814,1.8547001676622736,2.521288284552104,1.6580041048819558,1.2480944241071876,1.3943607597776764,1.4763294515623973,1.4860255216579592,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,1,ohlcv,dlinear,DLinear,42.0,570,4.352004068803273,3.134154537267852,2.410310381450308,2.521288284552104,1.6580041048819558,1.2480944241071876,1.7261033160975434,1.8903177187797089,1.9311923320020443,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,1,ohlcv,dlinear,DLinear,123.0,570,4.2437828183773405,3.0219007927074766,2.285793033325505,2.521288284552104,1.6580041048819558,1.2480944241071876,1.6831803187199716,1.8226135772580765,1.831426364203674,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,1,ohlcv,dlinear,DLinear,777.0,570,4.466905535233828,3.248012315181264,2.453272716721508,2.521288284552104,1.6580041048819558,1.2480944241071876,1.7716758383412528,1.9589893086618813,1.9656146757297093,0,Dow 30
