completed_at,dataset,ticker,price_mode,horizon,model_type,model_id,max_origins,context_length,num_samples,device,test_origins,test_RMSE,test_MAE,test_MAPE,latest_RMSE,latest_MAE,latest_MAPE,RMSE_ratio_vs_latest,MAE_ratio_vs_latest,MAPE_ratio_vs_latest,passes_latest_rmse_gate
2026-05-18T22:47:23,nasdaq_large_tech,AAPL,raw_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,11.995585547643833,9.44309656384965,4.200897194403281,11.49532171114637,8.969154734007072,3.9853325545682092,1.0435189070013051,1.0528413037680797,1.054089498651243,0
2026-05-18T22:47:25,nasdaq_large_tech,AAPL,adjusted_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,3.8705359166585644,2.6751456545110335,1.2041333503225402,3.7324389803536584,2.555287919964708,1.1532631357347978,1.0369991142606225,1.0469057649472162,1.0441098072170065,0
2026-05-18T22:47:27,nasdaq_large_tech,AAPL,adjusted_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,8.918599768823567,6.831332563725423,3.0761549332640694,8.754042258480544,6.627964629858786,2.980914207436781,1.0187978885050055,1.0306833161043847,1.0319501734030727,0
2026-05-18T22:47:31,nasdaq_large_tech,AAPL,adjusted_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,11.830219838878337,9.277530213476906,4.1503666183876735,11.454464568448408,8.933085240108866,3.989873818012969,1.0328042631922714,1.0385583439662602,1.0402250315912578,0
2026-05-18T22:47:32,nasdaq_large_tech,MSFT,raw_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,6.665928686806065,4.792702283357321,1.1061161163320148,6.540898699505418,4.564438937003153,1.056098281423847,1.0191151083428491,1.050009070009388,1.0473609661032048,0
2026-05-18T22:47:34,nasdaq_large_tech,MSFT,raw_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,15.1034296415948,11.476086554502144,2.6577765729457257,14.475605802053849,11.046450060155564,2.5625351043195588,1.0433711616719954,1.0388936257355903,1.0371668932322613,0
2026-05-18T22:47:38,nasdaq_large_tech,MSFT,raw_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,20.724560336659756,16.207767217931615,3.7501163200297305,20.10579571015775,15.522605627355441,3.588168200470455,1.030775435870434,1.0441395991771327,1.0451339264246426,0
2026-05-18T22:47:40,nasdaq_large_tech,MSFT,adjusted_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,6.789217897012961,4.8376220703125,1.1287069912309111,6.495947730676856,4.529965745357045,1.0563389400699783,1.0451466327155232,1.0679158170833378,1.068508362624726,0
2026-05-18T22:47:42,nasdaq_large_tech,MSFT,adjusted_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,14.74935362460215,11.340628947440685,2.656049404313969,14.369995854804463,10.9572905153298,2.5613208790635014,1.0263992957013173,1.0349847831062409,1.0369842474735549,0
2026-05-18T22:47:46,nasdaq_large_tech,MSFT,adjusted_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,20.61581169909396,15.847034293161311,3.6992867445136057,19.96754693001353,15.393983760350187,3.5854226373825746,1.0324659193917314,1.0294303631772064,1.0317575133106633,0
2026-05-18T22:47:55,sp100_largecap,AAPL,raw_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,3.8965608310825974,2.6956594366776314,1.2077330492748892,3.750140138378198,2.568210133335044,1.153059802626477,1.0390440589688794,1.0496257302657253,1.04741579450075,0
2026-05-18T22:47:57,sp100_largecap,AAPL,raw_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,8.836656979380194,6.732012328028889,3.0121889179837256,8.785372705297599,6.650966356005946,2.9760699812220524,1.0058374614035066,1.0121855934438395,1.0121364541121582,0
2026-05-18T22:48:01,sp100_largecap,AAPL,raw_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,11.976795648132393,9.337191433973715,4.144826634134486,11.49532171114637,8.969154734007072,3.9853325545682092,1.0418843377405578,1.0410335991385242,1.0400202686682838,0
2026-05-18T22:48:02,sp100_largecap,AAPL,adjusted_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,3.853372050030091,2.6770966914662138,1.207489245887797,3.7324389803536584,2.555287919964708,1.1532631357347978,1.0324005483580534,1.047669294152648,1.0470197203680227,0
2026-05-18T22:48:05,sp100_largecap,AAPL,adjusted_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,8.957954875557398,6.791258907485721,3.05093995004317,8.754042258480544,6.627964629858786,2.980914207436781,1.0232935381228383,1.0246371679310566,1.0234913646396426,0
2026-05-18T22:48:09,sp100_largecap,AAPL,adjusted_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,11.740811371083065,9.18722746405803,4.106282913753492,11.454464568448408,8.933085240108866,3.989873818012969,1.0249987069167255,1.0284495465024877,1.0291761346474102,0
2026-05-18T22:48:10,sp100_largecap,ABBV,raw_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,3.27545257315732,2.279980441980195,1.1716724957082936,3.1974382654368934,2.1974210237201883,1.1289385673372554,1.0243990035910098,1.0375710514138228,1.0378531920225134,0
2026-05-18T22:48:12,sp100_largecap,ABBV,raw_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,7.261231266839394,5.23887551145101,2.721854475556815,7.20636993989436,5.13140611698841,2.6635861194208044,1.0076128935098547,1.0209434591635231,1.0218759047102561,0
2026-05-18T22:48:16,sp100_largecap,ABBV,raw_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,10.228022851066942,7.715739666576117,4.001492615689607,10.042806415329435,7.537429648385921,3.9123599793277695,1.0184426969989973,1.0236566079563183,1.0227823198358021,0
2026-05-18T22:48:17,sp100_largecap,ABBV,adjusted_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,3.125551449053702,2.1570648728755484,1.1482801367687578,3.070413825985339,2.0939325700726426,1.1152328476699518,1.0179577171655905,1.0301501126183426,1.029632636061475,0
2026-05-18T22:48:20,sp100_largecap,ABBV,adjusted_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,7.123069203580292,5.132612633998448,2.7711484424896202,6.897397950893491,4.8805828932509066,2.6301060851152473,1.032718317007875,1.0516392706076276,1.0536261096738966,0
2026-05-18T22:48:24,sp100_largecap,ABBV,adjusted_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,9.773194828630501,7.2948477301799075,3.9351748867893144,9.580792955466318,7.156233747240521,3.8590676796544416,1.0200820406054603,1.0193696835284114,1.0197216564861302,0
2026-05-18T22:48:32,hang_seng_largecap,0001.HK,raw_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,558,0.8646178117730444,0.5777094851257981,1.22151773780126,0.8430270255817117,0.5515233385092897,1.1677863567717608,1.0256110249566845,1.0474796709188896,1.0460113108171898,0
2026-05-18T22:48:35,hang_seng_largecap,0001.HK,raw_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,557,1.9936827673543185,1.4389922041011243,3.0911600279040554,1.927431285670253,1.3484740471283452,2.89099121391472,1.0343729409066986,1.0671263619537528,1.0692388178234153,0
2026-05-18T22:48:38,hang_seng_largecap,0001.HK,raw_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,556,2.640661906504217,1.952909373550964,4.171690420365446,2.604572028380621,1.9125899925506373,4.087203329158106,1.0138563563343015,1.0210810373145143,1.020671125070928,0
2026-05-18T22:48:40,hang_seng_largecap,0001.HK,adjusted_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,558,0.8505225826982356,0.5637284965925319,1.2392669468668107,0.8108075720495352,0.5271043401465194,1.155491281589364,1.0489820421241378,1.0694817964045449,1.072502204570695,0
2026-05-18T22:48:42,hang_seng_largecap,0001.HK,adjusted_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,557,1.8801794554880014,1.3247422333037617,2.947246625150612,1.8373112781426588,1.2745573019852972,2.8328184214657077,1.0233320166567954,1.0393744017944855,1.0403937657344444,0
2026-05-18T22:48:46,hang_seng_largecap,0001.HK,adjusted_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,556,2.4895684926638513,1.8449112494214832,4.086888617094071,2.494859213362134,1.813411843004844,4.0146808326176044,0.9978793509990678,1.01737024412747,1.0179859339974946,1
